"RepName","GapHeight","Subject","Behavior","Join","Leave","tstart_j","tstop_j","tstart_l","tstop_l","maxSliceR","Extend","SliceR_start_j","SliceR_stop_j","SliceR_start_l","SliceR_stop_l","gaplength_j","gaplength_latency","gaplength_l","latency_tojoin","traf_join_down","traf_join_up","time_spent","traf_leave_down","traf_leave_up"
"25_S4_T3","25","A1","ChainBottom",0,0,17.273,18.518,NA,NA,1010,0,174,204,NA,NA,20.3088824088901,20.3088824088901,NA,1.245,0.803212851405622,0,NA,NA,NA
"25_S4_T3","25","A1","Extension",0,0,17.273,18.518,NA,NA,1010,0,174,204,NA,NA,20.3088824088901,20.3088824088901,NA,1.245,0.803212851405622,0,NA,NA,NA
"25_S4_T3","25","A2","ChainBottom",0,0,17.52,20.521,NA,NA,1010,0,180,252,NA,NA,19.9974442560704,19.9974442560704,NA,3.001,0,0.333222259246918,NA,NA,NA
"25_S4_T3","25","A2","Extension",0,0,17.52,20.521,NA,NA,1010,0,180,252,NA,NA,19.9974442560704,19.9974442560704,NA,3.001,0,0.333222259246918,NA,NA,NA
"25_S4_T3","25","A3","Pausing",1,0,24.021,28.525,28.525,50.875,1010,0,336,444,444,981,18.55377387682,18.55377387682,12.8312197255671,4.504,0,0,22.35,0.268456375838926,0.0447427293064877
"25_S4_T3","25","A3","Extension",1,0,24.021,28.525,NA,NA,1010,0,336,444,NA,NA,18.55377387682,18.55377387682,NA,4.504,0,0,NA,NA,NA
"25_S4_T3","25","A4","ChainBottom",0,0,30.268,31.767,NA,NA,1010,0,486,522,NA,NA,17.8915589549324,17.8915589549324,NA,1.499,0.667111407605071,0,NA,NA,NA
"25_S4_T3","25","A4","Extension",0,0,30.268,31.767,NA,NA,1010,0,486,522,NA,NA,17.8915589549324,17.8915589549324,NA,1.499,0.667111407605071,0,NA,NA,NA
"25_S4_T3","25","A5","Pausing",1,0,31.191,34.187,34.187,52.04,1010,0,508,580,580,1008,15.7147409000872,15.7147409000872,11.1895769567473,2.996,0,0.333778371161549,17.853,0.224051980059374,0
"25_S4_T3","25","A5","Extension",1,0,31.191,34.187,NA,NA,1010,0,508,580,NA,NA,15.7147409000872,15.7147409000872,NA,2.996,0,0.333778371161549,NA,NA,NA
"25_S4_T3","25","A6","Pausing",1,0,39.351,40.686,40.686,52.04,1010,0,704,736,736,1008,12.0326431852234,12.0326431852234,10.2696476508864,1.335,0,0,11.354,0.26422406200458,0
"25_S4_T3","25","A6","Extension",1,0,39.351,40.686,NA,NA,1010,0,704,736,NA,NA,12.0326431852234,12.0326431852234,NA,1.335,0,0,NA,NA,NA
"25_S4_T3","25","A7","Pausing",1,0,40.934,41.439,41.439,52.04,1010,0,742,754,754,1008,12.0467024393236,12.0467024393236,10.1447147663259,0.505000000000003,0,0,10.601,0.188661447033299,0
"25_S4_T3","25","A7","Extension",1,0,40.934,41.439,NA,NA,1010,0,742,754,NA,NA,12.0467024393236,12.0467024393236,NA,0.505000000000003,0,0,NA,NA,NA
"25_S4_T3","25","A8","Pausing",1,1,42.937,43.935,43.935,48.437,1010,0,790,814,814,922,11.8068980210404,11.8068980210404,10.6227091773484,0.998000000000005,0,0,4.502,0.222123500666371,0
"25_S4_T3","25","A8","Extension",1,1,42.937,43.935,NA,NA,1010,0,790,814,NA,NA,11.8068980210404,11.8068980210404,NA,0.998000000000005,0,0,NA,NA,NA
"25_S4_T3","25","A9","ChainBottom",0,0,47.187,51.688,NA,NA,1010,0,892,1000,NA,NA,8.60950923179304,8.60950923179304,NA,4.501,0,0,NA,NA,NA
"25_S4_T3","25","A9","Extension",0,0,47.187,51.688,NA,NA,1010,0,892,1000,NA,NA,8.60950923179304,8.60950923179304,NA,4.501,0,0,NA,NA,NA
"25_S4_T4","25","A1","ChainBottom",0,0,30.151,33.643,NA,NA,2618,0,483,567,NA,NA,20.4297869651816,20.4297869651816,NA,3.492,0,0,NA,NA,NA
"25_S4_T4","25","A1","Extension",0,0,30.151,33.643,NA,NA,2618,0,483,567,NA,NA,20.4297869651816,20.4297869651816,NA,3.492,0,0,NA,NA,NA
"25_S4_T4","25","A2","ChainBottom",0,0,41.4,43.649,NA,NA,2618,0,753,807,NA,NA,19.402752811087,19.402752811087,NA,2.249,0,0,NA,NA,NA
"25_S4_T4","25","A2","Extension",0,0,41.4,43.649,NA,NA,2618,0,753,807,NA,NA,19.402752811087,19.402752811087,NA,2.249,0,0,NA,NA,NA
"25_S4_T4","25","A3","Pausing",1,0,54.068,55.566,55.566,118.041666666667,2618,0,1057,1093,1093,2593,18.7358935135135,18.7358935135135,14.5523735742838,1.498,0,0,62.4756666666667,0.0960373905573903,0.0320124635191301
"25_S4_T4","25","A3","Extension",1,0,54.068,55.566,NA,NA,2618,0,1057,1093,NA,NA,18.7358935135135,18.7358935135135,NA,1.498,0,0,NA,NA,NA
"25_S4_T4","25","A4","ChainBottom",0,0,61.393,79.734,NA,NA,2618,1,1233,1673,NA,NA,13.6590820680272,13.6590820680272,NA,18.341,0.0545226541628047,0,NA,NA,NA
"25_S4_T4","25","A4","Extension",0,0,61.393,69.731,69.731,75.983,2618,1,1233,1433,1433,1583,15.681595880597,15.681595880597,12.2400117218543,8.33799999999999,0,0,6.25200000000001,0.159948816378759,0
"25_S4_T4","25","A5","Pausing",1,1,70.305,70.323,70.323,84.986,2618,0,1447,1447,1447,1799,13.68213,13.68213,12.3454722946176,0.0179999999999865,0,0,14.663,0,0.0681988678987928
"25_S4_T4","25","A5","Extension",1,1,70.305,70.323,NA,NA,2618,0,1447,1447,NA,NA,13.68213,13.68213,NA,0.0179999999999865,0,0,NA,NA,NA
"25_S4_T4","25","A6","Pausing",1,0,101.562,106.401,106.401,119.04,2618,0,2197,2313,2313,2616,16.8273373333333,16.8273373333333,10.9383308190789,4.839,0,0,12.639,0.237360550676477,0
"25_S4_T4","25","A6","Extension",1,0,101.562,106.401,NA,NA,2618,0,2197,2313,NA,NA,16.8273373333333,16.8273373333333,NA,4.839,0,0,NA,NA,NA
"25_S4_T4","25","A8","Pausing",1,0,109.147,110.816,110.816,119.04,2618,0,2379,2419,2419,2616,12.0082190243902,12.0082190243902,9.58875909090909,1.669,0.599161174355903,0,8.224,0.1215953307393,0
"25_S4_T4","25","A8","Extension",1,0,109.147,110.816,NA,NA,2618,0,2379,2419,NA,NA,12.0082190243902,12.0082190243902,NA,1.669,0.599161174355903,0,NA,NA,NA
