"","RepName","GapHeight","time","Join.exp","Leave.exp","chainlength","Nants"
"1","25_S4_T3","25",10,0,0,4.18438948860303,0
"2","25_S4_T3","25",20,1,0,6.21562314742149,1
"3","25_S4_T3","25",30,1,0,10.6854298453744,2
"4","25_S4_T3","25",40,3,1,14.0870633185502,4
"5","25_S4_T3","25",50,0,0,17.4329280096139,4
"6","25_S4_T4","25",10,0,0,3.1330854036945,0
"7","25_S4_T4","25",20,0,0,2.7679079986216,0
"8","25_S4_T4","25",30,0,0,4.90013193181526,0
"9","25_S4_T4","25",40,0,0,5.7062699516159,0
"10","25_S4_T4","25",50,1,0,6.53576047083333,1
"11","25_S4_T4","25",60,0,0,9.14786619583333,1
"12","25_S4_T4","25",70,1,0,13.095903375,2
"13","25_S4_T4","25",80,0,1,10.8171500916667,1
"14","25_S4_T4","25",90,0,0,7.81285104166667,1
"15","25_S4_T4","25",100,1,0,9.13641893333333,2
"16","25_S4_T4","25",110,1,0,15.2345745412844,3
"17","25_S5_T2","25",10,0,0,8.07021071666667,0
"18","25_S5_T2","25",20,0,0,9.5074971875,0
"19","25_S5_T2","25",30,0,0,9.9074606375,0
"20","25_S5_T2","25",40,1,0,10.96981125,1
"21","25_S5_T2","25",50,1,0,12.827189125,2
"22","25_S5_T2","25",60,0,0,14.311696125,2
"23","25_S5_T2","25",70,0,0,13.7801352083333,2
"24","25_S5_T2","25",80,1,0,12.964984625,3
"25","25_S5_T2","25",90,0,0,16.9466058163265,3
"26","25_S5_T3","25",10,0,0,2.38661694166667,0
"27","25_S5_T3","25",20,0,0,4.5216863625,0
"28","25_S5_T3","25",30,1,0,9.1658617625,1
"29","25_S5_T3","25",40,1,0,12.3155716458333,2
"30","25_S5_T3","25",50,0,0,12.2670295833333,2
"31","25_S5_T3","25",60,0,0,12.8554439583333,2
"32","25_S5_T3","25",70,1,0,14.0903544166667,3
"33","25_S5_T3","25",80,0,0,16.0387660810811,3
"34","25_S9_T6","25",10,0,0,9.92558120416667,0
"35","25_S9_T6","25",20,0,0,10.1540204625,0
"36","25_S9_T6","25",30,0,0,9.64192542916667,0
"37","25_S9_T6","25",40,0,0,8.61329043333333,0
"38","25_S9_T6","25",50,3,0,11.1274370375,3
"39","25_S9_T6","25",60,2,0,13.4267287916667,5
"40","25_S9_T6","25",70,0,1,15.0825400458716,4
"41","35_S11_T4","35",10,0,0,6.69590327083333,0
"42","35_S11_T4","35",20,0,0,7.0514256875,0
"43","35_S11_T4","35",30,0,0,5.27407654583333,0
"44","35_S11_T4","35",40,0,0,6.25944895416667,0
"45","35_S11_T4","35",50,0,0,6.0663159375,0
"46","35_S11_T4","35",60,0,0,7.98004035,0
"47","35_S11_T4","35",70,1,0,10.37777945,1
"48","35_S11_T4","35",80,1,0,13.9372067916667,2
"49","35_S11_T4","35",90,0,0,14.7473142916667,2
"50","35_S11_T4","35",100,1,0,13.7745544166667,3
"51","35_S11_T4","35",110,1,0,14.10196175,4
"52","35_S11_T4","35",120,0,1,14.3996776666667,3
"53","35_S11_T4","35",130,0,1,14.649302125,2
"54","35_S11_T4","35",140,2,0,14.6172469166667,4
"55","35_S11_T4","35",150,0,0,17.60305525,4
"56","35_S11_T4","35",160,1,0,21.00876575,5
"57","35_S11_T4","35",170,1,0,24.6782904583333,6
"58","35_S11_T4","35",180,0,0,27.7997835714286,6
"59","35_S15_T1","35",10,1,0,7.32751661666667,1
"60","35_S15_T1","35",20,0,0,12.3293451666667,1
"61","35_S15_T1","35",30,0,0,13.3946305833333,1
"62","35_S15_T1","35",40,0,0,12.2827159166667,1
"63","35_S15_T1","35",50,0,0,14.3123940833333,1
"64","35_S15_T1","35",60,0,0,11.9558172916667,1
"65","35_S15_T1","35",70,0,0,10.1916397916667,1
"66","35_S15_T1","35",80,0,0,11.0049347916667,1
"67","35_S15_T1","35",90,0,0,11.0133429166667,1
"68","35_S15_T1","35",100,1,0,11.6449715833333,2
"69","35_S15_T1","35",110,0,1,11.1320758333333,1
"70","35_S15_T1","35",120,0,0,11.9670305,1
"71","35_S15_T1","35",130,2,0,14.8846575,3
"72","35_S15_T1","35",140,2,0,18.3860112916667,5
"73","35_S15_T1","35",150,1,0,24.05870625,6
"74","35_S15_T1","35",160,1,0,25.825695,7
"75","35_S15_T1","35",170,0,0,25.3879575416667,7
"76","35_S15_T1","35",180,0,0,27.1537739189189,7
"77","35_S5_T3","35",10,1,0,11.2179016541667,1
"78","35_S5_T3","35",20,2,0,14.4261947083333,3
"79","35_S5_T3","35",30,1,0,16.4936084583333,4
"80","35_S5_T3","35",40,0,0,19.6225802083333,4
"81","35_S5_T3","35",50,0,0,20.00579225,4
"82","35_S5_T3","35",60,0,1,18.710339625,3
"83","35_S5_T3","35",70,1,0,17.358021375,4
"84","35_S5_T3","35",80,0,0,20.2889705416667,4
"85","35_S5_T3","35",90,1,0,21.371232625,5
"86","35_S5_T3","35",100,1,0,23.9029315,6
"87","35_S5_T3","35",110,0,0,24.2222739583333,6
"88","35_S5_T3","35",120,0,0,25.0324458256881,6
"89","35_S5_T4","35",10,0,0,6.29772940416667,0
"90","35_S5_T4","35",20,1,0,7.7528188875,1
"91","35_S5_T4","35",30,1,0,12.7562939791667,2
"92","35_S5_T4","35",40,0,1,14.8214786666667,1
"93","35_S5_T4","35",50,1,0,13.4874882916667,2
"94","35_S5_T4","35",60,1,1,14.5830647916667,2
"95","35_S5_T4","35",70,1,1,14.817425,2
"96","35_S5_T4","35",80,2,0,16.9136929166667,4
"97","35_S5_T4","35",90,0,0,18.2795794583333,4
"98","35_S5_T4","35",100,0,0,19.3859675416667,4
"99","35_S5_T4","35",110,0,2,20.1855507083333,2
"100","35_S5_T4","35",120,0,0,21.0351392916667,2
"101","35_S5_T4","35",130,0,0,19.2510800833333,2
"102","35_S5_T4","35",140,0,0,18.5342124583333,2
"103","35_S5_T4","35",150,1,0,19.9498377916667,3
"104","35_S5_T4","35",160,0,0,26.5635607083333,3
"105","35_S5_T4","35",170,0,0,25.343914375,3
"106","35_S5_T4","35",180,0,0,26.3137929166667,3
"107","35_S5_T4","35",190,0,0,27.8626825416667,3
"108","35_S5_T4","35",200,0,0,24.8111284166667,3
"109","35_S5_T4","35",210,2,1,22.9054284166667,4
"110","35_S5_T4","35",220,0,0,27.6481481764706,4
"111","35_S9_T5","35",10,0,0,0.8045368485,0
"112","35_S9_T5","35",20,0,0,0.518315732916667,0
"113","35_S9_T5","35",30,0,0,2.73113299104167,0
"114","35_S9_T5","35",40,0,0,8.08896279329167,0
"115","35_S9_T5","35",50,0,0,9.29788988333333,0
"116","35_S9_T5","35",60,0,0,9.055615525,0
"117","35_S9_T5","35",70,1,0,7.7393639,1
"118","35_S9_T5","35",80,2,0,9.3257584375,3
"119","35_S9_T5","35",90,0,1,14.3770945833333,2
"120","35_S9_T5","35",100,0,0,13.8808127916667,2
"121","35_S9_T5","35",110,3,1,14.1468001666667,4
"122","35_S9_T5","35",120,1,0,17.2152025833333,5
"123","35_S9_T5","35",130,1,0,19.5296423333333,6
"124","35_S9_T5","35",140,1,1,19.7970985,6
"125","35_S9_T5","35",150,0,0,21.7988565833333,6
"126","35_S9_T5","35",160,0,0,22.0005487083333,6
"127","35_S9_T5","35",170,2,0,22.80535925,8
"128","35_S9_T5","35",180,2,0,25.031544625,10
"129","35_S9_T5","35",190,1,0,28.3297531666667,11
"130","35_S9_T5","35",200,0,0,29.1278508108108,11
"131","50_S13_T4","50",10,0,0,4.36372420833333,0
"132","50_S13_T4","50",20,0,0,8.709390375,0
