"RepName","start","to","chainlength","change","traf_up","traf_down","traf_bottom_down","traf_bottom_up"
"25_S4_T3",10,20,4.18438948860303,2.36012087307578,1,5,2,1
"25_S4_T3",20,30,6.21562314742149,1.73075530692223,1,2,1,1
"25_S4_T3",30,40,10.6854298453744,5.97897287845862,3,5,3,1
"25_S4_T3",40,50,14.0870633185502,3.3041692223061,0,1,3,0
"25_S4_T3",50,52.0833333333333,17.4329280096139,2.2027794815374,0,3,0,0
"25_S4_T4",10,20,3.1330854036945,-1.20886313403442,0,0,0,0
"25_S4_T4",100,110,9.13641893333333,5.824527,0,1,3,0
"25_S4_T4",110,119.083333333333,15.2345745412844,4.01122,1,2,1,0
"25_S4_T4",20,30,2.7679079986216,2.19793297097167,2,5,0,0
"25_S4_T4",30,40,4.90013193181526,1.04401816121154,1,3,1,1
"25_S4_T4",40,50,5.7062699516159,0.16484546882495,1,1,1,1
"25_S4_T4",50,60,6.53576047083333,1.758346,0,3,1,0
"25_S4_T4",60,70,9.14786619583333,3.736487,1,1,1,0
"25_S4_T4",70,80,13.095903375,2.03309,0,0,1,1
"25_S4_T4",80,90,10.8171500916667,-3.406799,1,0,0,1
"25_S4_T4",90,100,7.81285104166667,-2.692468,1,3,0,0
"25_S5_T2",10,20,8.07021071666667,0.867016,1,0,0,1
"25_S5_T2",20,30,9.5074971875,1.424386,0,1,1,0
"25_S5_T2",30,40,9.9074606375,-0.0619300000000003,1,1,1,1
"25_S5_T2",40,50,10.96981125,1.17666,1,3,2,1
"25_S5_T2",50,60,12.827189125,2.84877,0,3,1,0
"25_S5_T2",60,70,14.311696125,0.185790000000001,1,1,1,1
"25_S5_T2",70,80,13.7801352083333,-1.30052,0,2,3,2
"25_S5_T2",80,90,12.964984625,1.42438,2,3,3,2
"25_S5_T2",90,94.0833333333333,16.9466058163265,4.27316,1,0,1,0
"25_S5_T3",10,20,2.38661694166667,-1.077496,0,1,0,0
"25_S5_T3",20,30,4.5216863625,5.993571,0,0,1,0
"25_S5_T3",30,40,9.1658617625,2.020305,0,0,0,0
"25_S5_T3",40,50,12.3155716458333,2.828425,0,0,1,0
"25_S5_T3",50,60,12.2670295833333,-0.808120000000001,0,0,0,0
"25_S5_T3",60,70,12.8554439583333,0.87546,0,2,1,0
"25_S5_T3",70,80,14.0903544166667,2.96311,0,4,2,0
"25_S5_T3",80,83.0833333333333,16.0387660810811,0.94281,0,2,0,0
"25_S9_T6",10,20,9.92558120416667,0.641230999999999,0,2,0,0
"25_S9_T6",20,30,10.1540204625,-0.26718,2,0,0,0
"25_S9_T6",30,40,9.64192542916667,-1.389329,0,1,0,0
"25_S9_T6",40,50,8.61329043333333,-0.0534350000000003,0,3,1,0
"25_S9_T6",50,60,11.1274370375,5.129824,2,3,3,0
"25_S9_T6",60,70,13.4267287916667,-0.26718,0,4,2,0
"25_S9_T6",70,79.0833333333333,15.0825400458716,4.6489,2,2,0,1
"35_S11_T4",10,20,6.69590327083333,3.279319,2,2,0,0
"35_S11_T4",100,110,13.7745544166667,0,2,1,1,1
"35_S11_T4",110,120,14.10196175,0.0630600000000001,0,0,0,0
"35_S11_T4",120,130,14.3996776666667,0.81983,0,1,1,0
"35_S11_T4",130,140,14.649302125,0.37838,0,0,0,3
"35_S11_T4",140,150,14.6172469166667,-1.07208,1,1,2,0
"35_S11_T4",150,160,17.60305525,7.06315,0,2,1,0
"35_S11_T4",160,170,21.00876575,-0.0630699999999997,0,1,1,0
"35_S11_T4",170,180,24.6782904583333,4.66672,2,1,2,0
"35_S11_T4",180,184.083333333333,27.7997835714286,3.15319,0,2,0,0
"35_S11_T4",20,30,7.0514256875,-3.531575,1,2,0,0
"35_S11_T4",30,40,5.27407654583333,1.261277,2,2,2,1
"35_S11_T4",40,50,6.25944895416667,0,1,4,1,2
"35_S11_T4",50,60,6.0663159375,0,1,2,0,0
"35_S11_T4",60,70,7.98004035,2.14417,0,2,3,1
"35_S11_T4",70,80,10.37777945,5.045109,2,3,1,1
"35_S11_T4",80,90,13.9372067916667,1.70272,1,1,4,1
"35_S11_T4",90,100,14.7473142916667,-1.19821,1,0,1,1
"35_S15_T1",10,20,7.32751661666667,8.010673,1,4,1,0
"35_S15_T1",100,110,11.6449715833333,0.55035,0,2,2,2
"35_S15_T1",110,120,11.1320758333333,-1.40645,3,5,2,1
"35_S15_T1",120,130,11.9670305,3.66901,2,3,2,2
"35_S15_T1",130,140,14.8846575,1.9568,1,2,5,3
"35_S15_T1",140,150,18.3860112916667,7.27687,2,3,2,0
"35_S15_T1",150,160,24.05870625,1.7122,0,2,2,1
"35_S15_T1",160,170,25.825695,1.03956,2,2,0,0
"35_S15_T1",170,180,25.3879575416667,1.3453,3,3,1,1
"35_S15_T1",180,183.083333333333,27.1537739189189,0.550349999999998,0,1,0,0
"35_S15_T1",20,30,12.3293451666667,4.89201,1,2,0,0
"35_S15_T1",30,40,13.3946305833333,-3.11866,1,1,0,0
"35_S15_T1",40,50,12.2827159166667,1.71221,2,1,0,0
"35_S15_T1",50,60,14.3123940833333,-0.67266,0,1,1,0
"35_S15_T1",60,70,11.9558172916667,-3.3021,3,0,0,1
"35_S15_T1",70,80,10.1916397916667,0,0,2,1,0
"35_S15_T1",80,90,11.0049347916667,1.223,1,1,0,1
"35_S15_T1",90,100,11.0133429166667,-0.428049999999999,1,3,1,0
"35_S5_T3",10,20,11.2179016541667,3.359657,0,2,3,0
"35_S5_T3",100,110,23.9029315,0.41996,0,0,0,1
"35_S5_T3",110,120,24.2222739583333,0.349970000000003,0,0,1,0
"35_S5_T3",120,129.083333333333,25.0324458256881,1.81981,0,0,0,0
"35_S5_T3",20,30,14.4261947083333,2.09978,1,0,1,0
"35_S5_T3",30,40,16.4936084583333,3.9196,0,1,0,0
"35_S5_T3",40,50,19.6225802083333,0.629940000000001,0,0,1,0
"35_S5_T3",50,60,20.00579225,0.0699900000000007,1,1,0,0
"35_S5_T3",60,70,18.710339625,-2.51974,0,1,0,1
"35_S5_T3",70,80,17.358021375,1.67982,2,1,2,1
"35_S5_T3",80,90,20.2889705416667,1.53985,1,1,1,1
"35_S5_T3",90,100,21.371232625,2.93969,0,1,2,0
"35_S5_T4",10,20,6.29772940416667,2.594995,0,1,0,0
"35_S5_T4",100,110,19.3859675416667,1.038,0,0,0,0
"35_S5_T4",110,120,20.1855507083333,1.42725,0,0,0,1
"35_S5_T4",120,130,21.0351392916667,-1.42725,0,1,0,1
