"","ID","duration","Rep","JoinTime"
"1","25_S4_T3_44.276",6.025,"25_S4_T3",44.276
"2","25_S4_T4_54.81",30.251,"25_S4_T4",54.81
"3","25_S4_T4_66.476",10.588,"25_S4_T4",66.476
"4","35_S11_T4_106.977",65.922,"35_S11_T4",106.977
"5","35_S11_T4_71.229",52.939,"35_S11_T4",71.229
"6","35_S15_T1_133.304",5.80000000000001,"35_S15_T1",133.304
"7","35_S15_T1_151.526",11.229,"35_S15_T1",151.526
"8","35_S15_T1_158.476",15.35,"35_S15_T1",158.476
"9","35_S5_T3_116.685",11.169,"35_S5_T3",116.685
"10","35_S5_T3_35.605",32.998,"35_S5_T3",35.605
"11","35_S5_T4_159.688",8.00300000000001,"35_S5_T4",159.688
"12","35_S5_T4_50.686",14.004,"35_S5_T4",50.686
"13","35_S5_T4_69.358",44.333,"35_S5_T4",69.358
"14","35_S9_T5_114.484",37.742,"35_S9_T5",114.484
"15","35_S9_T5_192.233",3.99799999999999,"35_S9_T5",192.233
"16","35_S9_T5_49.569",17.078,"35_S9_T5",49.569
"17","35_S9_T5_81.234",89.084,"35_S9_T5",81.234
"18","35_S9_T5_87.401",11.165,"35_S9_T5",87.401
"19","50_S13_T4_106.02",6.581,"50_S13_T4",106.02
"20","50_S13_T4_118.437",21.085,"50_S13_T4",118.437
"21","50_S13_T4_130.188",12.497,"50_S13_T4",130.188
"22","50_S13_T4_45.106",5.254,"50_S13_T4",45.106
"23","50_S13_T4_83.602",10.832,"50_S13_T4",83.602
"24","50_S5_T2_137.685",5.16999999999999,"50_S5_T2",137.685
"25","50_S5_T2_180.769",10.001,"50_S5_T2",180.769
"26","50_S5_T2_49.769",117.833,"50_S5_T2",49.769
"27","50_S5_T3_125.146",19.747,"50_S5_T3",125.146
"28","50_S5_T3_130.727",6.58199999999999,"50_S5_T3",130.727
"29","50_S5_T3_60.566",4.41499999999999,"50_S5_T3",60.566
"30","50_S5_T3_61.983",20.083,"50_S5_T3",61.983
"31","50_S5_T3_78.814",52.838,"50_S5_T3",78.814
"32","50_S5_T7_132.018",3.5,"50_S5_T7",132.018
"33","50_S5_T7_35.273",24.495,"50_S5_T7",35.273
"34","50_S5_T7_53.854",4.415,"50_S5_T7",53.854
"35","50_S8_T2_130.425",15,"50_S8_T2",130.425
"36","50_S8_T2_138.475",3.27600000000001,"50_S8_T2",138.475
"37","50_S8_T2_148.951",4.15000000000001,"50_S8_T2",148.951
"38","50_S8_T2_159.051",5.375,"50_S8_T2",159.051
"39","50_S8_T2_159.151",6.89999999999998,"50_S8_T2",159.151
"40","50_S8_T2_17.852",39.791,"50_S8_T2",17.852
"41","50_S8_T2_21.727",83.626,"50_S8_T2",21.727
